# wave[microns]    norm_trans
3.0270000e-01    0.0000000e+00
3.2920000e-01    0.0000000e+00
3.4360000e-01    0.0000000e+00
3.5290000e-01    0.0000000e+00
3.6050000e-01    5.5045872e-03
3.6210000e-01    1.6513761e-02
3.6310000e-01    2.7522936e-02
3.6430000e-01    4.0366972e-02
3.6540000e-01    4.9541284e-02
3.6660000e-01    7.5229358e-02
3.6660000e-01    6.0550459e-02
3.6750000e-01    8.4403670e-02
3.6870000e-01    9.7247706e-02
3.6890000e-01    1.0825688e-01
3.6910000e-01    1.1926606e-01
3.6980000e-01    1.3211009e-01
3.7000000e-01    1.4311927e-01
3.7020000e-01    1.5412844e-01
3.7160000e-01    1.6697248e-01
3.7180000e-01    1.7798165e-01
3.7270000e-01    1.9082569e-01
3.7340000e-01    2.1284404e-01
3.7340000e-01    2.0366972e-01
3.7610000e-01    2.8623853e-01
3.7650000e-01    2.9724771e-01
3.7700000e-01    3.0825688e-01
3.7720000e-01    3.1926606e-01
3.7760000e-01    3.4311927e-01
3.7760000e-01    3.3027523e-01
3.7890000e-01    3.6880734e-01
3.7920000e-01    3.5963303e-01
3.7940000e-01    3.8165138e-01
3.8030000e-01    3.9449541e-01
3.8080000e-01    4.0733945e-01
3.8100000e-01    4.2018349e-01
3.8140000e-01    4.3119266e-01
3.8190000e-01    4.4403670e-01
3.8280000e-01    4.6972477e-01
3.8280000e-01    4.5871560e-01
3.8320000e-01    4.8440367e-01
3.8370000e-01    4.9541284e-01
3.8480000e-01    5.1009174e-01
3.8520000e-01    5.3577982e-01
3.8530000e-01    5.2477064e-01
3.8620000e-01    5.5045872e-01
3.8660000e-01    5.6513761e-01
3.8710000e-01    5.7614679e-01
3.8800000e-01    5.9266055e-01
3.8940000e-01    6.0733945e-01
3.8960000e-01    6.2018349e-01
3.9010000e-01    6.3302752e-01
3.9080000e-01    6.4954128e-01
3.9170000e-01    6.6238532e-01
3.9210000e-01    6.7522936e-01
3.9280000e-01    6.8807339e-01
3.9380000e-01    7.0458716e-01
3.9490000e-01    7.2293578e-01
3.9560000e-01    7.3577982e-01
3.9680000e-01    7.5045872e-01
3.9750000e-01    7.6697248e-01
4.0150000e-01    8.1834862e-01
4.0370000e-01    8.3486239e-01
4.0410000e-01    8.4954128e-01
4.0630000e-01    8.6788991e-01
4.0870000e-01    8.8807339e-01
4.0960000e-01    9.0275229e-01
4.1280000e-01    9.2477064e-01
4.1710000e-01    9.4862385e-01
4.2230000e-01    9.7247706e-01
4.2940000e-01    9.9082569e-01
4.3530000e-01    9.9633028e-01
4.4170000e-01    1.0000000e+00
4.4560000e-01    9.9633028e-01
4.4690000e-01    9.8532110e-01
4.5340000e-01    9.6146789e-01
4.5510000e-01    9.4678899e-01
4.5660000e-01    9.3394495e-01
4.5870000e-01    9.1926606e-01
4.6040000e-01    9.0642202e-01
4.6100000e-01    8.8807339e-01
4.6250000e-01    8.7522936e-01
4.6320000e-01    8.6238532e-01
4.6450000e-01    8.4770642e-01
4.6530000e-01    8.3302752e-01
4.6580000e-01    8.1834862e-01
4.6680000e-01    8.0366972e-01
4.6760000e-01    7.9082569e-01
4.6790000e-01    7.7614679e-01
4.6890000e-01    7.6146789e-01
4.6950000e-01    7.4678899e-01
4.7050000e-01    7.3211009e-01
4.7080000e-01    7.1743119e-01
4.7160000e-01    7.0275229e-01
4.7230000e-01    6.8990826e-01
4.7310000e-01    6.7339450e-01
4.7340000e-01    6.6055046e-01
4.7700000e-01    6.0183486e-01
4.7740000e-01    5.7064220e-01
4.7780000e-01    5.8715596e-01
4.7870000e-01    5.4128440e-01
4.7890000e-01    5.5779817e-01
4.7970000e-01    5.2660550e-01
4.8050000e-01    5.1192661e-01
4.8120000e-01    4.9908257e-01
4.8200000e-01    4.8440367e-01
4.8280000e-01    4.6972477e-01
4.8330000e-01    4.5504587e-01
4.8360000e-01    4.4036697e-01
4.8420000e-01    4.2385321e-01
4.8490000e-01    4.0917431e-01
4.8600000e-01    3.9449541e-01
4.8670000e-01    3.8165138e-01
4.8700000e-01    3.6513761e-01
4.8830000e-01    3.5229358e-01
4.8880000e-01    3.3761468e-01
4.8940000e-01    3.2110092e-01
4.9010000e-01    3.0642202e-01
4.9120000e-01    2.9357798e-01
4.9270000e-01    2.7889908e-01
4.9350000e-01    2.6238532e-01
4.9420000e-01    2.4587156e-01
4.9500000e-01    2.3302752e-01
4.9680000e-01    2.1651376e-01
4.9780000e-01    2.0550459e-01
5.0230000e-01    1.5963303e-01
5.0380000e-01    1.4495413e-01
5.0490000e-01    1.3211009e-01
5.0710000e-01    1.1559633e-01
5.0860000e-01    9.9082569e-02
5.0990000e-01    8.4403670e-02
5.1260000e-01    6.9724771e-02
5.1560000e-01    5.3211009e-02
5.1890000e-01    4.0366972e-02
5.2230000e-01    2.5688073e-02
5.2850000e-01    9.1743119e-03
5.3170000e-01    7.3394495e-03
5.3410000e-01    3.6697248e-03
5.3900000e-01    3.6697248e-03
5.4300000e-01    1.8348624e-03
5.4440000e-01    5.5045872e-03
5.4660000e-01    5.5045872e-03
5.5220000e-01    9.1743119e-03
5.5490000e-01    1.1009174e-02
5.5740000e-01    1.1009174e-02
5.5930000e-01    1.1009174e-02
5.6300000e-01    1.1009174e-02
5.6600000e-01    7.3394495e-03
5.6790000e-01    5.5045872e-03
5.6990000e-01    3.6697248e-03
5.8560000e-01    0.0000000e+00
5.9020000e-01    0.0000000e+00
5.9340000e-01    0.0000000e+00
5.9610000e-01    0.0000000e+00
6.0370000e-01    0.0000000e+00
6.0670000e-01    0.0000000e+00
6.0980000e-01    0.0000000e+00
6.1180000e-01    0.0000000e+00
