# wave[microns]    norm_trans
4.7620000e-01    0.0000000e+00
4.9780000e-01    0.0000000e+00
5.2190000e-01    0.0000000e+00
5.3420000e-01    0.0000000e+00
5.3980000e-01    0.0000000e+00
5.4300000e-01    1.3140604e-03
5.4670000e-01    6.5703022e-03
5.4810000e-01    1.3140604e-02
5.4930000e-01    1.9710907e-02
5.5170000e-01    4.4678055e-02
5.5360000e-01    7.6215506e-02
5.5620000e-01    1.3666229e-01
5.5930000e-01    2.2076216e-01
5.6130000e-01    3.0486202e-01
5.6310000e-01    4.2575558e-01
5.6360000e-01    4.1655716e-01
5.6400000e-01    4.3626807e-01
5.6560000e-01    5.2299606e-01
5.6850000e-01    6.5703022e-01
5.7200000e-01    7.7792378e-01
5.7480000e-01    8.6596583e-01
5.7860000e-01    9.2772668e-01
5.8080000e-01    9.5269382e-01
5.8410000e-01    9.8160315e-01
5.8660000e-01    9.9342970e-01
5.9030000e-01    9.9868594e-01
5.9270000e-01    1.0000000e+00
5.9570000e-01    9.9868594e-01
5.9690000e-01    9.9605782e-01
5.9840000e-01    9.9342970e-01
6.0030000e-01    9.8817346e-01
6.0180000e-01    9.8423127e-01
6.0330000e-01    9.7897503e-01
6.0480000e-01    9.7371879e-01
6.0700000e-01    9.6320631e-01
6.1020000e-01    9.5532194e-01
6.1290000e-01    9.4086728e-01
6.1660000e-01    9.2904074e-01
6.2130000e-01    9.0670171e-01
6.3270000e-01    8.4756899e-01
6.6250000e-01    6.7542707e-01
6.6900000e-01    6.3731932e-01
6.6950000e-01    6.2549277e-01
6.8610000e-01    5.2562418e-01
6.9210000e-01    4.7700394e-01
6.9880000e-01    4.4415243e-01
7.0220000e-01    4.1130092e-01
7.1290000e-01    3.4691196e-01
7.1710000e-01    3.2194481e-01
7.1740000e-01    3.1143233e-01
7.3000000e-01    2.4704336e-01
7.5230000e-01    1.4586071e-01
7.5990000e-01    1.1957950e-01
7.6410000e-01    1.0512484e-01
7.6950000e-01    9.1984231e-02
7.7670000e-01    7.3587385e-02
7.8090000e-01    6.3074901e-02
7.8580000e-01    5.5190539e-02
7.9170000e-01    4.4678055e-02
7.9710000e-01    3.8107753e-02
8.0750000e-01    2.4967148e-02
8.1780000e-01    1.7082786e-02
8.2640000e-01    1.0512484e-02
8.3650000e-01    6.5703022e-03
8.4530000e-01    3.9421813e-03
8.5020000e-01    2.6281209e-03
