# wave[microns]    norm_trans
3.0720000e-01    0.0000000e+00
3.0840000e-01    4.5871560e-03
3.1200000e-01    3.2110092e-02
3.1250000e-01    3.6697248e-02
3.1310000e-01    4.1284404e-02
3.1480000e-01    6.8807339e-02
3.1500000e-01    7.3394495e-02
3.1640000e-01    1.0091743e-01
3.1690000e-01    1.0550459e-01
3.1760000e-01    1.2844037e-01
3.1810000e-01    1.3302752e-01
3.1900000e-01    1.5825688e-01
3.1920000e-01    1.6513761e-01
3.1940000e-01    1.6972477e-01
3.2120000e-01    2.2706422e-01
3.2140000e-01    2.3394495e-01
3.2160000e-01    2.3853211e-01
3.2520000e-01    3.5321101e-01
3.2540000e-01    3.6009174e-01
3.2560000e-01    3.6467890e-01
3.2700000e-01    4.1513761e-01
3.2720000e-01    4.1972477e-01
3.2760000e-01    4.2431193e-01
3.2830000e-01    4.5412844e-01
3.2850000e-01    4.5871560e-01
3.2970000e-01    5.0229358e-01
3.2990000e-01    5.0688073e-01
3.3010000e-01    5.1146789e-01
3.3030000e-01    5.1605505e-01
3.3080000e-01    5.3669725e-01
3.3090000e-01    5.4357798e-01
3.3140000e-01    5.4816514e-01
3.3200000e-01    5.7568807e-01
3.3220000e-01    5.8027523e-01
3.3410000e-01    6.3302752e-01
3.3450000e-01    6.3761468e-01
3.3460000e-01    6.4678899e-01
3.3480000e-01    6.5137615e-01
3.3520000e-01    6.5596330e-01
3.3540000e-01    6.6055046e-01
3.3560000e-01    6.6513761e-01
3.3590000e-01    6.7889908e-01
3.3630000e-01    6.9036697e-01
3.3640000e-01    6.8348624e-01
3.3690000e-01    7.0412844e-01
3.3730000e-01    7.0871560e-01
3.3790000e-01    7.2247706e-01
3.3810000e-01    7.2706422e-01
3.3830000e-01    7.3165138e-01
3.3840000e-01    7.3623853e-01
3.3860000e-01    7.4082569e-01
3.3910000e-01    7.4541284e-01
3.3920000e-01    7.5000000e-01
3.3940000e-01    7.5458716e-01
3.3960000e-01    7.5917431e-01
3.3980000e-01    7.6376147e-01
3.4000000e-01    7.6834862e-01
3.4040000e-01    7.7064220e-01
3.4200000e-01    8.0045872e-01
3.4220000e-01    8.0275229e-01
3.4240000e-01    8.0733945e-01
3.4310000e-01    8.0963303e-01
3.4440000e-01    8.3715596e-01
3.4480000e-01    8.3944954e-01
3.4500000e-01    8.4403670e-01
3.4560000e-01    8.5091743e-01
3.4580000e-01    8.5550459e-01
3.4630000e-01    8.5779817e-01
3.4670000e-01    8.6009174e-01
3.4730000e-01    8.6926606e-01
3.4750000e-01    8.7385321e-01
3.4790000e-01    8.7614679e-01
3.4830000e-01    8.7844037e-01
3.4960000e-01    8.9449541e-01
3.5000000e-01    8.9678899e-01
3.5060000e-01    9.0137615e-01
3.5110000e-01    9.0366972e-01
3.5120000e-01    9.0596330e-01
3.5190000e-01    9.0596330e-01
3.5240000e-01    9.0825688e-01
3.5250000e-01    9.1284404e-01
3.5300000e-01    9.1284404e-01
3.5370000e-01    9.1284404e-01
3.5450000e-01    9.1743119e-01
3.5490000e-01    9.1972477e-01
3.5640000e-01    9.2660550e-01
3.5790000e-01    9.1743119e-01
3.5810000e-01    9.2201835e-01
3.5850000e-01    9.2660550e-01
3.5870000e-01    9.3119266e-01
3.5940000e-01    9.3807339e-01
3.6120000e-01    9.5412844e-01
3.6140000e-01    9.5871560e-01
3.6190000e-01    9.6559633e-01
3.6350000e-01    9.7477064e-01
3.6470000e-01    9.7935780e-01
3.6520000e-01    9.8623853e-01
3.6680000e-01    9.9541284e-01
3.6850000e-01    1.0000000e+00
3.7040000e-01    9.9541284e-01
3.7040000e-01    9.9541284e-01
3.7160000e-01    9.9541284e-01
3.7160000e-01    9.9541284e-01
3.7190000e-01    9.9311927e-01
3.7190000e-01    9.9311927e-01
3.7250000e-01    9.9082569e-01
3.7250000e-01    9.9082569e-01
3.7330000e-01    9.8853211e-01
3.7330000e-01    9.8853211e-01
3.7500000e-01    9.7247706e-01
3.7550000e-01    9.7477064e-01
3.7670000e-01    9.5871560e-01
3.7720000e-01    9.5642202e-01
3.7780000e-01    9.5412844e-01
3.7810000e-01    9.4954128e-01
3.7840000e-01    9.4724771e-01
3.7840000e-01    9.4266055e-01
3.7900000e-01    9.3807339e-01
3.7930000e-01    9.3577982e-01
3.7930000e-01    9.3119266e-01
3.8360000e-01    8.5321101e-01
3.8390000e-01    8.4862385e-01
3.9380000e-01    4.6330275e-01
3.9410000e-01    4.5871560e-01
3.9760000e-01    3.2568807e-01
3.9790000e-01    3.2110092e-01
3.9820000e-01    3.1651376e-01
4.0160000e-01    1.8577982e-01
4.0220000e-01    1.8119266e-01
4.0300000e-01    1.5366972e-01
4.0330000e-01    1.4908257e-01
4.0400000e-01    1.2844037e-01
4.0430000e-01    1.2385321e-01
4.0650000e-01    7.7981651e-02
4.0680000e-01    7.1100917e-02
4.0730000e-01    6.6513761e-02
4.0820000e-01    5.5045872e-02
4.0870000e-01    5.0458716e-02
4.0900000e-01    4.3577982e-02
4.0960000e-01    3.8990826e-02
4.1040000e-01    3.4403670e-02
4.1070000e-01    2.7522936e-02
4.1150000e-01    2.2935780e-02
4.1200000e-01    1.8348624e-02
4.1310000e-01    1.3761468e-02
4.1430000e-01    9.1743119e-03
