# wave[microns]    norm_trans
4.6540001e-01  2.7781667e-04
4.6560001e-01  5.5151078e-04
4.6579999e-01  1.1508375e-03
4.6599999e-01  2.1983935e-03
4.6619999e-01  4.2832694e-03
4.6640000e-01  8.4053110e-03
4.6660000e-01  1.5624274e-02
4.6680000e-01  2.8279489e-02
4.6700001e-01  5.1321130e-02
4.6720001e-01  9.1836385e-02
4.6740001e-01  1.6398364e-01
4.6759999e-01  2.8821030e-01
4.6779999e-01  4.7564945e-01
4.6799999e-01  6.9998527e-01
4.6820000e-01  8.6806411e-01
4.6840000e-01  9.5304769e-01
4.6860000e-01  9.7693551e-01
4.6880001e-01  9.8103666e-01
4.6900001e-01  9.7780722e-01
4.6919999e-01  9.7476566e-01
4.6939999e-01  9.7887748e-01
4.6959999e-01  9.9063635e-01
4.6980000e-01  1.0000000e+00
4.7000000e-01  9.9750018e-01
4.7020000e-01  9.7353184e-01
4.7040001e-01  9.3535304e-01
4.7060001e-01  8.8301742e-01
4.7080001e-01  8.0159056e-01
4.7099999e-01  6.4105946e-01
4.7119999e-01  4.1157916e-01
4.7139999e-01  2.0504338e-01
4.7160000e-01  9.0712532e-02
4.7180000e-01  3.9400522e-02
4.7200000e-01  1.8221766e-02
4.7220001e-01  9.0954201e-03
4.7240001e-01  4.7394354e-03
4.7260001e-01  2.6589581e-03
4.7279999e-01  1.4497740e-03
4.7299999e-01  8.0915983e-04
4.7319999e-01  4.8845971e-04
