# wave[microns]    norm_trans
5.8899999e-01  3.5293223e-04
5.8999997e-01  6.7697786e-04
5.9100002e-01  1.3502167e-03
5.9200001e-01  2.3870314e-03
5.9299999e-01  4.4014417e-03
5.9399998e-01  7.0208404e-03
5.9420002e-01  5.9696008e-03
5.9439999e-01  6.6172238e-03
5.9460002e-01  7.2467048e-03
5.9480000e-01  8.1259450e-03
5.9500003e-01  8.9831380e-03
5.9520000e-01  9.8671727e-03
5.9539998e-01  1.0848099e-02
5.9560001e-01  1.1897914e-02
5.9579998e-01  1.3199488e-02
5.9600002e-01  1.4408244e-02
5.9619999e-01  1.5837915e-02
5.9640002e-01  1.7268971e-02
5.9660000e-01  1.8806083e-02
5.9680003e-01  2.0522723e-02
5.9700000e-01  2.2188663e-02
5.9719998e-01  2.4076175e-02
5.9740001e-01  2.6196316e-02
5.9759998e-01  2.8307946e-02
5.9780002e-01  3.0684138e-02
5.9799999e-01  3.3041492e-02
5.9820002e-01  3.5643037e-02
5.9840000e-01  3.8331151e-02
5.9859997e-01  4.1084945e-02
5.9880000e-01  4.4051878e-02
5.9899998e-01  4.7253329e-02
5.9920001e-01  5.0647404e-02
5.9939998e-01  5.3939275e-02
5.9960002e-01  5.7276390e-02
5.9979999e-01  6.1144233e-02
6.0000002e-01  6.4962901e-02
6.0020000e-01  6.9179393e-02
6.0039997e-01  7.3375665e-02
6.0060000e-01  7.7783108e-02
6.0079998e-01  8.2265474e-02
6.0100001e-01  8.6916611e-02
6.0119998e-01  9.1876164e-02
6.0140002e-01  9.6825533e-02
6.0159999e-01  1.0223973e-01
6.0180002e-01  1.0763428e-01
6.0200000e-01  1.1324051e-01
6.0219997e-01  1.1927011e-01
6.0240000e-01  1.2540589e-01
6.0259998e-01  1.3164863e-01
6.0280001e-01  1.3820924e-01
6.0299999e-01  1.4519319e-01
6.0320002e-01  1.5238957e-01
6.0339999e-01  1.5937573e-01
6.0360003e-01  1.6667975e-01
6.0380000e-01  1.7398451e-01
6.0399997e-01  1.8224220e-01
6.0420001e-01  1.8997176e-01
6.0439998e-01  1.9833711e-01
6.0460001e-01  2.0628054e-01
6.0479999e-01  2.1475427e-01
6.0500002e-01  2.2333419e-01
6.0519999e-01  2.3149368e-01
6.0540003e-01  2.4081777e-01
6.0560000e-01  2.4929731e-01
6.0579997e-01  2.5809547e-01
6.0600001e-01  2.6668337e-01
6.0619998e-01  2.7558774e-01
6.0640001e-01  2.8438738e-01
6.0659999e-01  2.9318842e-01
6.0680002e-01  3.0199093e-01
6.0699999e-01  3.1079417e-01
6.0720003e-01  3.1928319e-01
6.0740000e-01  3.2798460e-01
6.0759997e-01  3.3711156e-01
6.0780001e-01  3.4496915e-01
6.0799998e-01  3.5346252e-01
6.0820001e-01  3.6195734e-01
6.0839999e-01  3.7130031e-01
6.0860002e-01  3.7958565e-01
6.0879999e-01  3.8871989e-01
6.0900003e-01  3.9679572e-01
6.0920000e-01  4.0519086e-01
6.0939997e-01  4.1464588e-01
6.0960001e-01  4.2240745e-01
6.0979998e-01  4.3101794e-01
6.1000001e-01  4.3941748e-01
6.1019999e-01  4.4855896e-01
6.1040002e-01  4.5653731e-01
6.1059999e-01  4.6589339e-01
6.1080003e-01  4.7419184e-01
6.1100000e-01  4.8259714e-01
6.1119998e-01  4.9036750e-01
6.1140001e-01  4.9866882e-01
6.1159998e-01  5.0760663e-01
6.1180001e-01  5.1591015e-01
6.1199999e-01  5.2273118e-01
6.1220002e-01  5.3029418e-01
6.1240000e-01  5.3764689e-01
6.1260003e-01  5.4521215e-01
6.1280000e-01  5.5299115e-01
6.1299998e-01  5.5971032e-01
6.1320001e-01  5.6611162e-01
6.1339998e-01  5.7283223e-01
6.1360002e-01  5.7923573e-01
6.1379999e-01  5.8479106e-01
6.1400002e-01  5.9246898e-01
6.1420000e-01  5.9824181e-01
6.1440003e-01  6.0433400e-01
6.1460000e-01  6.1010897e-01
6.1479998e-01  6.1577773e-01
6.1500001e-01  6.2102389e-01
6.1519998e-01  6.2732697e-01
6.1540002e-01  6.3203925e-01
6.1559999e-01  6.3781351e-01
6.1580002e-01  6.4295131e-01
6.1600000e-01  6.4787805e-01
6.1619997e-01  6.5397245e-01
6.1640000e-01  6.5836972e-01
6.1659998e-01  6.6404068e-01
6.1680001e-01  6.6865104e-01
6.1699998e-01  6.7220014e-01
6.1720002e-01  6.7851055e-01
6.1739999e-01  6.8460923e-01
6.1760002e-01  6.8667287e-01
6.1780000e-01  6.9978392e-01
6.1799997e-01  7.0078635e-01
6.1820000e-01  7.0327556e-01
6.1839998e-01  7.0905858e-01
6.1860001e-01  7.1473610e-01
6.1879998e-01  7.2009575e-01
6.1900002e-01  7.2428709e-01
6.1919999e-01  7.3070878e-01
6.1940002e-01  7.3543704e-01
6.1960000e-01  7.4058717e-01
6.1979997e-01  7.4615920e-01
6.2000000e-01  7.5024730e-01
6.2019998e-01  7.5433540e-01
6.2040001e-01  7.5969648e-01
6.2059999e-01  7.6368278e-01
6.2080002e-01  7.6830184e-01
6.2099999e-01  7.7399033e-01
6.2120003e-01  7.7690727e-01
6.2140000e-01  7.8173739e-01
6.2159997e-01  7.8741854e-01
6.2180001e-01  7.9043728e-01
6.2199998e-01  7.9421264e-01
6.2220001e-01  7.9904997e-01
6.2239999e-01  8.0292714e-01
6.2260002e-01  8.0712432e-01
6.2279999e-01  8.1057960e-01
6.2300003e-01  8.1542420e-01
6.2320000e-01  8.1802112e-01
6.2339997e-01  8.2019609e-01
6.2360001e-01  8.2460427e-01
6.2379998e-01  8.2859051e-01
6.2400001e-01  8.3257675e-01
6.2419999e-01  8.3635211e-01
6.2440002e-01  8.4087670e-01
6.2459999e-01  8.4423006e-01
6.2480003e-01  8.4715432e-01
6.2500000e-01  8.5114783e-01
6.2519997e-01  8.5407209e-01
6.2540001e-01  8.5837841e-01
6.2559998e-01  8.6162275e-01
6.2580001e-01  8.6528891e-01
6.2599999e-01  8.6885327e-01
6.2620002e-01  8.7305051e-01
6.2639999e-01  8.7660754e-01
6.2660003e-01  8.7899351e-01
6.2680000e-01  8.8255060e-01
6.2699997e-01  8.8642776e-01
6.2720001e-01  8.9095235e-01
6.2739998e-01  8.9451665e-01
6.2760001e-01  8.9733177e-01
6.2779999e-01  9.0026331e-01
6.2800002e-01  9.0456963e-01
6.2819999e-01  9.0696287e-01
6.2840003e-01  9.1030896e-01
6.2860000e-01  9.1440439e-01
6.2879997e-01  9.1785228e-01
6.2900001e-01  9.1981637e-01
6.2919998e-01  9.2263150e-01
6.2940001e-01  9.2598492e-01
6.2959999e-01  9.2741060e-01
6.2980002e-01  9.3022579e-01
6.3000000e-01  9.3379015e-01
6.3020003e-01  9.3532503e-01
6.3040000e-01  9.3739814e-01
6.3059998e-01  9.3968225e-01
6.3080001e-01  9.4228637e-01
6.3099998e-01  9.4499248e-01
6.3120002e-01  9.4716740e-01
6.3139999e-01  9.4966239e-01
6.3160002e-01  9.5151007e-01
6.3180000e-01  9.5272487e-01
6.3200003e-01  9.5639110e-01
6.3220000e-01  9.5621645e-01
6.3239998e-01  9.5828235e-01
6.3260001e-01  9.6002823e-01
6.3279998e-01  9.6187580e-01
6.3300002e-01  9.6394169e-01
6.3319999e-01  9.6547657e-01
6.3340002e-01  9.6605128e-01
6.3360000e-01  9.6725881e-01
6.3380003e-01  9.6804440e-01
6.3400000e-01  9.6808803e-01
6.3419998e-01  9.6971750e-01
6.3440001e-01  9.6996474e-01
6.3459998e-01  9.7224158e-01
6.3480002e-01  9.7269982e-01
6.3499999e-01  9.7315812e-01
6.3520002e-01  9.7500581e-01
6.3540000e-01  9.7653341e-01
6.3559997e-01  9.7432196e-01
6.3580000e-01  9.7542042e-01
6.3599998e-01  9.7737718e-01
6.3620001e-01  9.7622788e-01
6.3639998e-01  9.7668618e-01
6.3660002e-01  9.7852647e-01
6.3679999e-01  9.7673708e-01
6.3700002e-01  9.7793734e-01
6.3720000e-01  9.7945756e-01
6.3739997e-01  9.8001778e-01
6.3760000e-01  9.8004681e-01
6.3779998e-01  9.7771907e-01
6.3800001e-01  9.7774822e-01
6.3819999e-01  9.7819912e-01
6.3840002e-01  9.7886842e-01
6.3859999e-01  9.7995955e-01
6.3880002e-01  9.7838825e-01
6.3900000e-01  9.7809005e-01
6.3919997e-01  9.7896296e-01
6.3940001e-01  9.7908664e-01
6.3959998e-01  9.7985768e-01
6.3980001e-01  9.7923213e-01
6.3999999e-01  9.7829372e-01
6.4020002e-01  9.7883928e-01
6.4039999e-01  9.7906476e-01
6.4060003e-01  9.7886842e-01
6.4080000e-01  9.7749358e-01
6.4099997e-01  9.7857016e-01
6.4120001e-01  9.7837377e-01
6.4139998e-01  9.7838825e-01
6.4160001e-01  9.7861385e-01
6.4179999e-01  9.7712982e-01
6.4200002e-01  9.7746444e-01
6.4219999e-01  9.7629333e-01
6.4240003e-01  9.7704983e-01
6.4260000e-01  9.7555864e-01
6.4279997e-01  9.7578412e-01
6.4300001e-01  9.7589326e-01
6.4319998e-01  9.7419113e-01
6.4340001e-01  9.7440934e-01
6.4359999e-01  9.7302717e-01
6.4380002e-01  9.7367465e-01
6.4399999e-01  9.7368193e-01
6.4420003e-01  9.7347099e-01
6.4440000e-01  9.7379106e-01
6.4459997e-01  9.7432196e-01
6.4480001e-01  9.7347099e-01
6.4499998e-01  9.7357273e-01
6.4520001e-01  9.7251070e-01
6.4539999e-01  9.7154331e-01
6.4560002e-01  9.7250342e-01
6.4579999e-01  9.7176147e-01
6.4600003e-01  9.7144139e-01
6.4620000e-01  9.7067767e-01
6.4639997e-01  9.7173244e-01
