# wave[microns]    norm_trans
6.0200000e-01    0.0000000e+00
6.0570000e-01    0.0000000e+00
6.1010000e-01    0.0000000e+00
6.1100000e-01    0.0000000e+00
6.1420000e-01    0.0000000e+00
6.1570000e-01    0.0000000e+00
6.2110000e-01    0.0000000e+00
6.2480000e-01    0.0000000e+00
6.2920000e-01    0.0000000e+00
6.3360000e-01    0.0000000e+00
6.3830000e-01    0.0000000e+00
6.4200000e-01    0.0000000e+00
6.4490000e-01    0.0000000e+00
6.4760000e-01    0.0000000e+00
6.5270000e-01    0.0000000e+00
6.5420000e-01    0.0000000e+00
6.5620000e-01    0.0000000e+00
6.5940000e-01    0.0000000e+00
6.6180000e-01    0.0000000e+00
6.6700000e-01    0.0000000e+00
6.6920000e-01    0.0000000e+00
6.7280000e-01    0.0000000e+00
6.7480000e-01    0.0000000e+00
6.7950000e-01    0.0000000e+00
6.8360000e-01    0.0000000e+00
6.8880000e-01    0.0000000e+00
6.9290000e-01    0.0000000e+00
6.9810000e-01    2.7624309e-03
6.9900000e-01    6.9060773e-03
7.0240000e-01    1.5193370e-02
7.0270000e-01    3.5911602e-02
7.0300000e-01    2.7624309e-02
7.0430000e-01    4.6961326e-02
7.0680000e-01    7.1823204e-02
7.0990000e-01    1.3259669e-01
7.1330000e-01    2.1961326e-01
7.2290000e-01    5.5524862e-01
7.3010000e-01    7.5000000e-01
7.3270000e-01    8.1353591e-01
7.3730000e-01    8.8674033e-01
7.4180000e-01    9.4613260e-01
7.4840000e-01    9.8756906e-01
7.5230000e-01    1.0000000e+00
7.5610000e-01    1.0000000e+00
7.6040000e-01    9.9723757e-01
7.6430000e-01    9.9033149e-01
7.7500000e-01    9.6132597e-01
7.8160000e-01    9.4060773e-01
7.8770000e-01    9.2403315e-01
7.9430000e-01    9.0193370e-01
8.0140000e-01    8.7707182e-01
8.0680000e-01    8.5359116e-01
8.1220000e-01    8.3011050e-01
8.1960000e-01    7.9834254e-01
8.2690000e-01    7.6795580e-01
8.3040000e-01    7.5000000e-01
8.3810000e-01    7.1546961e-01
8.4180000e-01    6.9751381e-01
8.4670000e-01    6.7541436e-01
8.5530000e-01    6.3812155e-01
8.5580000e-01    6.3397790e-01
8.6280000e-01    6.0359116e-01
8.6820000e-01    5.8011050e-01
8.7120000e-01    5.6491713e-01
8.7520000e-01    5.4834254e-01
8.8040000e-01    5.2348066e-01
8.8580000e-01    5.0000000e-01
8.9110000e-01    4.7651934e-01
8.9630000e-01    4.5441989e-01
9.0100000e-01    4.3370166e-01
9.0550000e-01    4.1436464e-01
9.1000000e-01    3.9640884e-01
9.2640000e-01    3.2872928e-01
9.4420000e-01    2.5828729e-01
9.5530000e-01    2.1961326e-01
9.7070000e-01    1.7541436e-01
9.8720000e-01    1.2983425e-01
9.9440000e-01    1.1187845e-01
9.9960000e-01    9.9447514e-02
1.0134000e+00    7.3204420e-02
1.0301000e+00    4.6961326e-02
1.0734000e+00    1.2430939e-02
1.0888000e+00    8.2872928e-03
1.0934000e+00    6.9060773e-03
1.0990000e+00    5.5248619e-03
1.1043000e+00    4.1436464e-03
1.1149000e+00    2.7624309e-03
1.1232000e+00    1.3812155e-03
1.1317000e+00    1.3812155e-03
1.1417000e+00    1.3812155e-03
1.1518000e+00    0.0000000e+00
1.1609000e+00    0.0000000e+00
1.1686000e+00    0.0000000e+00
1.1759000e+00    0.0000000e+00
1.1831000e+00    0.0000000e+00
1.1902000e+00    0.0000000e+00
1.1946000e+00    0.0000000e+00
1.1983000e+00    0.0000000e+00
1.1998000e+00    0.0000000e+00
