# wave[microns]    norm_trans
4.2750000e-01    0.0000000e+00
4.3120000e-01    0.0000000e+00
4.3680000e-01    0.0000000e+00
4.4320000e-01    0.0000000e+00
4.4720000e-01    0.0000000e+00
4.5230000e-01    0.0000000e+00
4.5680000e-01    0.0000000e+00
4.6170000e-01    0.0000000e+00
4.6630000e-01    0.0000000e+00
4.6860000e-01    0.0000000e+00
4.7170000e-01    0.0000000e+00
4.7360000e-01    1.3227513e-03
4.7530000e-01    2.6455026e-03
4.7580000e-01    5.2910053e-03
4.7670000e-01    6.6137566e-03
4.7700000e-01    1.5873016e-02
4.7850000e-01    2.6455026e-02
4.7950000e-01    3.7037037e-02
4.8030000e-01    4.6296296e-02
4.8030000e-01    5.8201058e-02
4.8180000e-01    8.0687831e-02
4.8340000e-01    1.2169312e-01
4.8450000e-01    1.6534392e-01
4.8480000e-01    1.9841270e-01
4.8510000e-01    2.2089947e-01
4.8680000e-01    3.0687831e-01
4.8850000e-01    4.3650794e-01
4.9030000e-01    5.6481481e-01
4.9280000e-01    6.9576720e-01
4.9710000e-01    8.3730159e-01
4.9920000e-01    8.7962963e-01
5.0120000e-01    9.1666667e-01
5.0300000e-01    9.3915344e-01
5.0310000e-01    9.4444444e-01
5.0440000e-01    9.4708995e-01
5.0480000e-01    9.5105820e-01
5.0510000e-01    9.6164021e-01
5.0520000e-01    9.5767196e-01
5.0550000e-01    9.6560847e-01
5.0670000e-01    9.7089947e-01
5.0710000e-01    9.7619048e-01
5.0850000e-01    9.8412698e-01
5.0850000e-01    9.8148148e-01
5.0970000e-01    9.8677249e-01
5.1140000e-01    9.8941799e-01
5.1210000e-01    9.9470899e-01
5.1430000e-01    9.9867725e-01
5.1480000e-01    9.9867725e-01
5.1610000e-01    9.9735450e-01
5.1640000e-01    9.9603175e-01
5.1840000e-01    9.9867725e-01
5.1990000e-01    1.0000000e+00
5.2070000e-01    9.9735450e-01
5.2100000e-01    9.9470899e-01
5.2130000e-01    9.9470899e-01
5.2300000e-01    9.9735450e-01
5.2470000e-01    9.9338624e-01
5.2590000e-01    9.9206349e-01
5.2630000e-01    9.8677249e-01
5.2640000e-01    9.8544974e-01
5.2670000e-01    9.8280423e-01
5.2700000e-01    9.8941799e-01
5.2740000e-01    9.8412698e-01
5.2800000e-01    9.7883598e-01
5.3080000e-01    9.6825397e-01
5.3270000e-01    9.6031746e-01
5.3490000e-01    9.5105820e-01
5.3780000e-01    9.3518519e-01
5.4010000e-01    9.1931217e-01
5.4290000e-01    8.9417989e-01
5.4520000e-01    8.7037037e-01
5.5060000e-01    8.2671958e-01
5.5490000e-01    7.6719577e-01
5.6020000e-01    6.9708995e-01
5.6340000e-01    6.4153439e-01
5.7120000e-01    5.3835979e-01
5.8270000e-01    3.5846561e-01
5.9080000e-01    2.5264550e-01
5.9660000e-01    1.7724868e-01
6.0210000e-01    1.3095238e-01
6.0720000e-01    9.1269841e-02
6.1130000e-01    6.7460317e-02
6.1570000e-01    4.3650794e-02
6.1950000e-01    3.3068783e-02
6.2190000e-01    2.6455026e-02
6.2500000e-01    1.8518519e-02
6.2850000e-01    1.3227513e-02
6.3200000e-01    9.2592593e-03
6.3600000e-01    5.2910053e-03
6.3950000e-01    2.6455026e-03
6.4540000e-01    1.3227513e-03
6.4890000e-01    0.0000000e+00
6.5380000e-01    0.0000000e+00
6.5800000e-01    0.0000000e+00
6.6370000e-01    0.0000000e+00
6.6780000e-01    0.0000000e+00
6.7100000e-01    0.0000000e+00
6.7550000e-01    0.0000000e+00
6.8090000e-01    0.0000000e+00
6.8260000e-01    0.0000000e+00
6.8750000e-01    0.0000000e+00
6.9020000e-01    0.0000000e+00
