# wave[microns]    norm_trans
4.0000000e-01    0.0000000e+00
4.0040000e-01    0.0000000e+00
4.0080000e-01    0.0000000e+00
4.0120000e-01    0.0000000e+00
4.0160000e-01    0.0000000e+00
4.0200000e-01    0.0000000e+00
4.0240000e-01    0.0000000e+00
4.0280000e-01    0.0000000e+00
4.0320000e-01    0.0000000e+00
4.0360000e-01    0.0000000e+00
4.0400000e-01    0.0000000e+00
4.0440000e-01    0.0000000e+00
4.0480000e-01    0.0000000e+00
4.0520000e-01    0.0000000e+00
4.0560000e-01    0.0000000e+00
4.0600000e-01    0.0000000e+00
4.0640000e-01    0.0000000e+00
4.0680000e-01    0.0000000e+00
4.0720000e-01    0.0000000e+00
4.0760000e-01    0.0000000e+00
4.0800000e-01    0.0000000e+00
4.0840000e-01    0.0000000e+00
4.0880000e-01    0.0000000e+00
4.0920000e-01    0.0000000e+00
4.0960000e-01    0.0000000e+00
4.1000000e-01    0.0000000e+00
4.1040000e-01    0.0000000e+00
4.1080000e-01    0.0000000e+00
4.1120000e-01    0.0000000e+00
4.1160000e-01    0.0000000e+00
4.1200000e-01    0.0000000e+00
4.1240000e-01    0.0000000e+00
4.1280000e-01    0.0000000e+00
4.1320000e-01    0.0000000e+00
4.1360000e-01    0.0000000e+00
4.1400000e-01    0.0000000e+00
4.1440000e-01    0.0000000e+00
4.1480000e-01    0.0000000e+00
4.1520000e-01    0.0000000e+00
4.1560000e-01    0.0000000e+00
4.1600000e-01    0.0000000e+00
4.1640000e-01    0.0000000e+00
4.1680000e-01    0.0000000e+00
4.1720000e-01    0.0000000e+00
4.1760000e-01    0.0000000e+00
4.1800000e-01    0.0000000e+00
4.1840000e-01    0.0000000e+00
4.1880000e-01    0.0000000e+00
4.1920000e-01    0.0000000e+00
4.1960000e-01    0.0000000e+00
4.2000000e-01    0.0000000e+00
4.2040000e-01    0.0000000e+00
4.2080000e-01    0.0000000e+00
4.2120000e-01    0.0000000e+00
4.2160000e-01    0.0000000e+00
4.2200000e-01    0.0000000e+00
4.2240000e-01    0.0000000e+00
4.2280000e-01    0.0000000e+00
4.2320000e-01    0.0000000e+00
4.2360000e-01    0.0000000e+00
4.2400000e-01    0.0000000e+00
4.2440000e-01    0.0000000e+00
4.2480000e-01    0.0000000e+00
4.2520000e-01    0.0000000e+00
4.2560000e-01    0.0000000e+00
4.2600000e-01    0.0000000e+00
4.2640000e-01    0.0000000e+00
4.2680000e-01    0.0000000e+00
4.2720000e-01    0.0000000e+00
4.2760000e-01    0.0000000e+00
4.2800000e-01    0.0000000e+00
4.2840000e-01    0.0000000e+00
4.2880000e-01    0.0000000e+00
4.2920000e-01    0.0000000e+00
4.2960000e-01    0.0000000e+00
4.3000000e-01    0.0000000e+00
4.3040000e-01    0.0000000e+00
4.3080000e-01    0.0000000e+00
4.3120000e-01    0.0000000e+00
4.3160000e-01    0.0000000e+00
4.3200000e-01    0.0000000e+00
4.3240000e-01    0.0000000e+00
4.3280000e-01    0.0000000e+00
4.3320000e-01    1.3210040e-03
4.3360000e-01    1.3210040e-03
4.3400000e-01    1.3210040e-03
4.3440000e-01    1.3210040e-03
4.3480000e-01    2.6420079e-03
4.3520000e-01    2.6420079e-03
4.3560000e-01    2.6420079e-03
4.3600000e-01    3.9630119e-03
4.3640000e-01    5.2840159e-03
4.3680000e-01    6.6050198e-03
4.3720000e-01    7.9260238e-03
4.3760000e-01    1.0568032e-02
4.3800000e-01    1.3210040e-02
4.3840000e-01    1.5852048e-02
4.3880000e-01    1.8494055e-02
4.3920000e-01    2.2457067e-02
4.3960000e-01    2.6420079e-02
4.4000000e-01    3.1704095e-02
4.4040000e-01    3.6988111e-02
4.4080000e-01    4.3593131e-02
4.4120000e-01    5.0198151e-02
4.4160000e-01    5.8124174e-02
4.4200000e-01    6.7371202e-02
4.4240000e-01    7.6618230e-02
4.4280000e-01    8.7186262e-02
4.4320000e-01    9.7754293e-02
4.4360000e-01    1.0964333e-01
4.4400000e-01    1.2285337e-01
4.4440000e-01    1.3606341e-01
4.4480000e-01    1.4927345e-01
4.4520000e-01    1.6380449e-01
4.4560000e-01    1.7965654e-01
4.4600000e-01    1.9550859e-01
4.4640000e-01    2.1268164e-01
4.4680000e-01    2.2985469e-01
4.4720000e-01    2.4702774e-01
4.4760000e-01    2.6552180e-01
4.4800000e-01    2.8269485e-01
4.4840000e-01    3.0118890e-01
4.4880000e-01    3.1836196e-01
4.4920000e-01    3.3685601e-01
4.4960000e-01    3.5535007e-01
4.5000000e-01    3.7252312e-01
4.5040000e-01    3.9101717e-01
4.5080000e-01    4.0819022e-01
4.5120000e-01    4.2668428e-01
4.5160000e-01    4.4385733e-01
4.5200000e-01    4.6103038e-01
4.5240000e-01    4.7820343e-01
4.5280000e-01    4.9537649e-01
4.5320000e-01    5.1122853e-01
4.5360000e-01    5.2575958e-01
4.5400000e-01    5.4161162e-01
4.5440000e-01    5.5614267e-01
4.5480000e-01    5.7067371e-01
4.5520000e-01    5.8520476e-01
4.5560000e-01    5.9973580e-01
4.5600000e-01    6.1426684e-01
4.5640000e-01    6.2747688e-01
4.5680000e-01    6.3936592e-01
4.5720000e-01    6.5125495e-01
4.5760000e-01    6.6182299e-01
4.5800000e-01    6.7371202e-01
4.5840000e-01    6.8560106e-01
4.5880000e-01    6.9484808e-01
4.5920000e-01    7.0541612e-01
4.5960000e-01    7.1466314e-01
4.6000000e-01    7.2391017e-01
4.6040000e-01    7.3315720e-01
4.6080000e-01    7.4108322e-01
4.6120000e-01    7.4900925e-01
4.6160000e-01    7.5693527e-01
4.6200000e-01    7.6486129e-01
4.6240000e-01    7.7146631e-01
4.6280000e-01    7.7807133e-01
4.6320000e-01    7.8467635e-01
4.6360000e-01    7.9128137e-01
4.6400000e-01    7.9788639e-01
4.6440000e-01    8.0317041e-01
4.6480000e-01    8.0977543e-01
4.6520000e-01    8.1373844e-01
4.6560000e-01    8.2034346e-01
4.6600000e-01    8.2430647e-01
4.6640000e-01    8.2959049e-01
4.6680000e-01    8.3487450e-01
4.6720000e-01    8.3883752e-01
4.6760000e-01    8.4280053e-01
4.6800000e-01    8.4676354e-01
4.6840000e-01    8.5072655e-01
4.6880000e-01    8.5468956e-01
4.6920000e-01    8.5865258e-01
4.6960000e-01    8.6261559e-01
4.7000000e-01    8.6525760e-01
4.7040000e-01    8.6789960e-01
4.7080000e-01    8.7186262e-01
4.7120000e-01    8.7450462e-01
4.7160000e-01    8.7714663e-01
4.7200000e-01    8.7978864e-01
4.7240000e-01    8.8375165e-01
4.7280000e-01    8.8507266e-01
4.7320000e-01    8.8771466e-01
4.7360000e-01    8.8903567e-01
4.7400000e-01    8.9299868e-01
4.7440000e-01    8.9431968e-01
4.7480000e-01    8.9696169e-01
4.7520000e-01    8.9960370e-01
4.7560000e-01    9.0092470e-01
4.7600000e-01    9.0224571e-01
4.7640000e-01    9.0488771e-01
4.7680000e-01    9.0752972e-01
4.7720000e-01    9.0885073e-01
4.7760000e-01    9.1017173e-01
4.7800000e-01    9.1281374e-01
4.7840000e-01    9.1413474e-01
4.7880000e-01    9.1677675e-01
4.7920000e-01    9.1809775e-01
4.7960000e-01    9.1941876e-01
4.8000000e-01    9.1941876e-01
4.8040000e-01    9.2206077e-01
4.8080000e-01    9.2338177e-01
4.8120000e-01    9.2470277e-01
4.8160000e-01    9.2602378e-01
4.8200000e-01    9.2866579e-01
4.8240000e-01    9.2866579e-01
4.8280000e-01    9.3130779e-01
4.8320000e-01    9.3130779e-01
4.8360000e-01    9.3262880e-01
4.8400000e-01    9.3394980e-01
4.8440000e-01    9.3527081e-01
4.8480000e-01    9.3659181e-01
4.8520000e-01    9.3791281e-01
4.8560000e-01    9.3923382e-01
4.8600000e-01    9.4055482e-01
4.8640000e-01    9.4055482e-01
4.8680000e-01    9.4187583e-01
4.8720000e-01    9.4319683e-01
4.8760000e-01    9.4319683e-01
4.8800000e-01    9.4583884e-01
4.8840000e-01    9.4715984e-01
4.8880000e-01    9.4715984e-01
4.8920000e-01    9.4848085e-01
4.8960000e-01    9.4848085e-01
4.9000000e-01    9.4980185e-01
4.9040000e-01    9.4980185e-01
4.9080000e-01    9.5244386e-01
